rmse val_rmse epochs
658.78596852 1340.56918753 0.00000000
431.97808283 1980.66540507 1.00000000
164.91416675 588.27509447 2.00000000
35.14362033 91.65253474 3.00000000
35.06533203 84.73494445 4.00000000
34.84343633 88.83055848 5.00000000
34.77327241 87.46012795 6.00000000
34.62858091 81.11260719 7.00000000
34.57511518 75.15757716 8.00000000
34.47779595 77.86867148 9.00000000
34.45900990 77.66621982 10.00000000
34.40428783 74.55637642 11.00000000
34.35120796 69.40458827 12.00000000
34.23682483 73.96013785 13.00000000
34.21647712 75.49660647 14.00000000
34.15558514 71.40143516 15.00000000
34.12464435 67.98400718 16.00000000
34.04803133 71.65951854 17.00000000
34.02135874 73.34996618 18.00000000
33.95089048 69.06527146 19.00000000
33.92567612 66.13538597 20.00000000
33.85850523 69.48734051 21.00000000
33.82841765 71.19517172 22.00000000
33.75304187 66.88049150 23.00000000
33.73079577 64.23039248 24.00000000
33.66881975 67.35340557 25.00000000
33.63516807 69.05301216 26.00000000
33.55457957 64.72729886 27.00000000
33.53490509 62.33303986 28.00000000
33.47754035 65.24174047 29.00000000
33.43951019 66.93522744 30.00000000
33.35251535 62.58675894 31.00000000
33.33508429 60.42788709 32.00000000
33.28177606 63.13472249 33.00000000
33.23778282 64.81919185 34.00000000
33.14202942 60.41590191 35.00000000
33.12652062 58.47342358 36.00000000
33.07667778 60.99000518 37.00000000
33.02463063 62.65441989 38.00000000
32.91713089 58.16668529 39.00000000
32.90322395 56.41670039 40.00000000
32.85625684 58.75413292 41.00000000
32.79476887 60.38109753 42.00000000
32.67381461 55.82787147 43.00000000
32.66140504 54.26478928 44.00000000
32.61710736 56.42197706 45.00000000
32.53952199 57.98089569 46.00000000
32.39590349 53.26778857 47.00000000
32.38484568 51.88610236 48.00000000
32.34287340 53.86075094 49.00000000
32.24164424 55.28727616 50.00000000
32.06570164 50.39184609 51.00000000
32.05591886 49.19314146 52.00000000
32.01601558 50.97388384 53.00000000
31.86686612 52.08327533 54.00000000
31.62741032 46.84326184 55.00000000
31.61870634 45.83153937 56.00000000
31.58040188 47.39228239 57.00000000
31.35483903 47.88347036 58.00000000
31.01801292 42.40705329 59.00000000
31.01034605 41.60095572 60.00000000
30.97281576 42.90389590 61.00000000
30.36270764 40.17769587 62.00000000
29.55559334 34.63714928 63.00000000
29.54815048 34.16865915 64.00000000
29.51219110 34.89498437 65.00000000
29.30778950 34.91951116 66.00000000
28.99734442 32.01249175 67.00000000
28.98902953 31.56931511 68.00000000
28.94776949 32.23956176 69.00000000
27.87645989 28.11630517 70.00000000
27.49880071 29.96538522 71.00000000
26.75967338 29.38728474 72.00000000
26.70615727 28.95866043 73.00000000
26.53661257 28.66011269 74.00000000
26.47258286 28.32335716 75.00000000
26.29197387 28.27022744 76.00000000
26.16435764 27.80082350 77.00000000
25.88595390 27.55761966 78.00000000
25.81900215 27.28248222 79.00000000
25.61733542 26.99406990 80.00000000
25.47147641 26.33334186 81.00000000
25.15566547 26.05990094 82.00000000
25.09792956 25.83534790 83.00000000
24.91036694 25.55944302 84.00000000
24.70686181 24.70990593 85.00000000
24.30637193 24.46287845 86.00000000
24.25838612 24.32124917 87.00000000
24.08676850 24.02665514 88.00000000
23.79146134 22.89428554 89.00000000
23.26127578 22.46507312 90.00000000
23.22475964 22.35419848 91.00000000
23.07984546 22.13652933 92.00000000
22.72767250 20.96639294 93.00000000
22.07300798 20.50339776 94.00000000
22.01355923 20.40936518 95.00000000
21.83687833 20.15802534 96.00000000
21.82336404 20.08880793 97.00000000
21.75441186 20.09406345 98.00000000
16.37916802 14.93090395 99.00000000
13.86785934 21.12559745 100.00000000
8.60672625 14.96866144 101.00000000
8.13608014 30.49620139 102.00000000
7.20435474 7.48296228 103.00000000
5.81216364 5.52139062 104.00000000
2.95214030 5.51114679 105.00000000
1.84730521 3.03714543 106.00000000
0.29870468 0.63876970 107.00000000
0.21523328 0.57271205 108.00000000
0.07959049 0.47915544 109.00000000
0.07775186 0.46069269 110.00000000
0.07179114 0.45493678 111.00000000
0.07169140 0.45298942 112.00000000
0.07094223 0.45321376 113.00000000
0.07082687 0.45344405 114.00000000
0.06931536 0.39900778 115.00000000
0.06802511 0.34911327 116.00000000
0.06359398 0.41929672 117.00000000
0.04338217 0.35165967 118.00000000
0.02308871 0.16926494 119.00000000
0.02292708 0.15491736 120.00000000
0.02221416 0.12464883 121.00000000
0.02087553 0.15598769 122.00000000
0.02043198 0.17161223 123.00000000
0.01959471 0.15285397 124.00000000
0.01872206 0.11989290 125.00000000
0.01830859 0.13509449 126.00000000
0.01686191 0.13824699 127.00000000
0.01678742 0.13904446 128.00000000
0.01652237 0.13576205 129.00000000
0.01631625 0.12812340 130.00000000
0.01588306 0.13922252 131.00000000
0.01580704 0.14133771 132.00000000
0.01551085 0.13472648 133.00000000
0.01202924 0.06168971 134.00000000
0.00835126 0.09492733 135.00000000
0.00758599 0.09755197 136.00000000
0.00085860 0.02238078 137.00000000
0.00020702 0.01072775 138.00000000
0.00014833 0.00949662 139.00000000
0.00014763 0.00943231 140.00000000
0.00014395 0.00959914 141.00000000
0.00013940 0.00986092 142.00000000
0.00013574 0.01040258 143.00000000
0.00013542 0.01024519 144.00000000
